CIK,ACCESSION_NUMBER,DOC_TYPE,FORM_TYPE,CONFORMED_DATE,FILED_DATE,EFFECTIVENESS_DATE,PUBLIC_DOCUMENT_COUNT,SEC_ACT,SEC_FILE_NUMBER,FILM_NUMBER,NUMBER_TRADES,TOTAL_VALUE,OTHER_INCLUDED_MANAGERS_COUNT,IS_CONFIDENTIAL_OMITTED,REPORT_TYPE,FORM_13F_FILE_NUMBER,PROVIDE_INFO_FOR_INSTRUCTION5,SIGNATURE_NAME,SIGNATURE_TITLE,SIGNATURE_PHONE
1067983.0,95012320002466.0,13F-HR,,2019-12-31,2020-02-14,2020-02-14,2,1934 Act,028-04545,20619517,171,242050717,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012320005345.0,13F-HR,,2020-03-31,2020-05-15,2020-05-15,2,1934 Act,028-04545,20885055,168,175526846,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012320009058.0,13F-HR,,2020-06-30,2020-08-14,2020-08-14,2,1934 Act,028-04545,201104871,138,202411166,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012320012127.0,13F-HR,,2020-09-30,2020-11-16,2020-11-16,2,1934 Act,028-04545,201316532,145,228890673,14,True,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012321002786.0,13F-HR,,2020-12-31,2021-02-16,2021-02-16,2,1934 Act,028-04545,21638171,141,269927528,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012321002781.0,13F-HR,,2020-09-30,2021-02-16,2021-02-16,2,1934 Act,028-04545,21638079,3,7044886,2,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012321007024.0,13F-HR,,2021-03-31,2021-05-17,2021-05-17,2,1934 Act,028-04545,21930169,132,270435200,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012321011396.0,13F-HR,,2021-06-30,2021-08-16,2021-08-16,2,1934 Act,028-04545,211177729,130,293023412,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012321015518.0,13F-HR,,2021-09-30,2021-11-15,2021-11-15,2,1934 Act,028-04545,211410402,130,293447417,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012322002973.0,13F-HR,,2021-12-31,2022-02-14,2022-02-14,2,1934 Act,028-04545,22631097,129,330952724,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012322006442.0,13F-HR,,2022-03-31,2022-05-16,2022-05-16,2,1934 Act,028-04545,22928720,176,363553518,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012322009450.0,13F-HR,,2022-06-30,2022-08-15,2022-08-15,2,1934 Act,028-04545,221165753,181,300130772,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012322012275.0,13F-HR,,2022-09-30,2022-11-14,2022-11-14,2,1934 Act,028-04545,221384834,179,296096640,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012323002585.0,13F-HR,,2022-12-31,2023-02-14,2023-02-14,2,1934 Act,028-04545,23628350,172,299007622119,14,False,13F COMBINATION REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012323005270.0,13F-HR,,2023-03-31,2023-05-15,2023-05-15,2,1934 Act,028-04545,23921734,165,325108752692,15,False,13F HOLDINGS REPORT,028-04545,Y,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012323008074.0,13F-HR,,2023-06-30,2023-08-14,2023-08-14,2,1934 Act,028-04545,231169523,157,348194055552,14,False,13F HOLDINGS REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012323010898.0,13F-HR,,2023-09-30,2023-11-14,2023-11-14,2,1934 Act,028-04545,231405821,152,313257308189,14,True,13F HOLDINGS REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012323011029.0,13F-HR,,2023-09-30,2023-11-16,2023-11-16,2,1934 Act,028-04545,231415238,152,313257308189,14,True,13F HOLDINGS REPORT,028-04545,Y,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012324002518.0,13F-HR,,2023-12-31,2024-02-14,2024-02-14,2,1934 Act,028-04545,24637543,138,347358074461,14,True,13F HOLDINGS REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012324005622.0,13F-HR,,2024-03-31,2024-05-15,2024-05-15,2,1934 Act,028-04545,24950290,133,331680406332,14,False,13F HOLDINGS REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012324005653.0,13F-HR,,2023-09-30,2024-05-15,2024-05-15,2,1934 Act,028-04545,24950745,1,1695320075,2,False,13F HOLDINGS REPORT,028-04545,Y,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012324005664.0,13F-HR,,2023-12-31,2024-05-15,2024-05-15,2,1934 Act,028-04545,24950994,1,4542600000,2,False,13F HOLDINGS REPORT,028-04545,Y,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012324008740.0,13F-HR,,2024-06-30,2024-08-14,2024-08-14,2,1934 Act,028-04545,241207432,129,279969062343,14,False,13F HOLDINGS REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012324011775.0,13F-HR,,2024-09-30,2024-11-14,2024-11-14,2,1934 Act,028-04545,241461756,121,266378900503,14,False,13F HOLDINGS REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
1067983.0,95012325002701.0,13F-HR,,2024-12-31,2025-02-14,2025-02-14,2,1934 Act,028-04545,25627858,112,267175474249,14,False,13F HOLDINGS REPORT,028-04545,N,Marc D. Hamburg,Senior Vice President,402-346-1400
